LSOA code,season,count
E01000001,1,21
E01000001,2,45
E01000001,3,24
E01000002,1,44
E01000002,2,22
E01000002,3,14
E01000003,1,4
E01000003,2,12
E01000003,3,13
E01000005,1,117
E01000005,2,101
E01000005,3,91
E01000006,1,43
E01000006,2,27
E01000006,3,42
E01000007,1,64
E01000007,2,54
E01000007,3,57
E01000008,1,38
E01000008,2,61
E01000008,3,36
E01000009,1,52
E01000009,2,57
E01000009,3,64
E01000010,1,182
E01000010,2,153
E01000010,3,155
E01000011,1,45
E01000011,2,29
E01000011,3,25
E01000012,1,28
E01000012,2,45
E01000012,3,48
E01000013,1,85
E01000013,2,69
E01000013,3,75
E01000014,1,57
E01000014,2,47
E01000014,3,46
E01000015,1,60
E01000015,2,36
E01000015,3,42
E01000016,1,66
E01000016,2,39
E01000016,3,33
E01000017,1,45
E01000017,2,37
E01000017,3,38
E01000018,1,65
E01000018,2,42
E01000018,3,44
E01000019,1,67
E01000019,2,51
E01000019,3,56
E01000020,1,61
E01000020,2,44
E01000020,3,61
E01000021,1,78
E01000021,2,60
E01000021,3,57
E01000022,1,63
E01000022,2,49
E01000022,3,55
E01000023,1,69
E01000023,2,86
E01000023,3,61
E01000024,1,43
E01000024,2,31
E01000024,3,39
E01000025,1,49
E01000025,2,37
E01000025,3,56
E01000027,1,86
E01000027,2,81
E01000027,3,72
E01000028,1,40
E01000028,2,46
E01000028,3,31
E01000029,1,128
E01000029,2,88
E01000029,3,122
E01000030,1,52
E01000030,2,57
E01000030,3,46
E01000031,1,72
E01000031,2,47
E01000031,3,75
E01000032,1,92
E01000032,2,70
E01000032,3,97
E01000033,1,48
E01000033,2,25
E01000033,3,48
E01000034,1,50
E01000034,2,36
E01000034,3,38
E01000035,1,81
E01000035,2,53
E01000035,3,68
E01000036,1,37
E01000036,2,31
E01000036,3,52
E01000037,1,38
E01000037,2,39
E01000037,3,31
E01000038,1,47
E01000038,2,37
E01000038,3,64
E01000039,1,23
E01000039,2,28
E01000039,3,34
E01000040,1,54
E01000040,2,38
E01000040,3,65
E01000041,1,40
E01000041,2,20
E01000041,3,37
E01000042,1,87
E01000042,2,71
E01000042,3,84
E01000043,1,52
E01000043,2,35
E01000043,3,46
E01000044,1,70
E01000044,2,54
E01000044,3,64
E01000045,1,86
E01000045,2,85
E01000045,3,96
E01000046,1,50
E01000046,2,22
E01000046,3,45
E01000048,1,18
E01000048,2,27
E01000048,3,24
E01000049,1,67
E01000049,2,53
E01000049,3,64
E01000050,1,65
E01000050,2,60
E01000050,3,64
E01000051,1,38
E01000051,2,30
E01000051,3,27
E01000052,1,88
E01000052,2,54
E01000052,3,66
E01000053,1,61
E01000053,2,58
E01000053,3,69
E01000054,1,55
E01000054,2,37
E01000054,3,66
E01000055,1,59
E01000055,2,35
E01000055,3,44
