,LSOA code,season,count
333,E01000115,1,37
334,E01000115,2,19
335,E01000115,3,46
336,E01000116,1,91
337,E01000116,2,61
338,E01000116,3,78
339,E01000117,1,70
340,E01000117,2,52
341,E01000117,3,88
342,E01000118,1,66
343,E01000118,2,61
344,E01000118,3,92
345,E01000119,1,47
346,E01000119,2,27
347,E01000119,3,59
348,E01000120,1,60
349,E01000120,2,37
350,E01000120,3,60
351,E01000121,1,44
352,E01000121,2,29
353,E01000121,3,35
354,E01000122,1,83
355,E01000122,2,47
356,E01000122,3,70
357,E01000123,1,67
358,E01000123,2,47
359,E01000123,3,66
360,E01000124,1,90
361,E01000124,2,71
362,E01000124,3,71
363,E01000125,1,110
364,E01000125,2,84
365,E01000125,3,104
366,E01000126,1,34
367,E01000126,2,41
368,E01000126,3,31
369,E01000127,1,35
370,E01000127,2,23
371,E01000127,3,33
372,E01000128,1,70
373,E01000128,2,77
374,E01000128,3,106
375,E01000129,1,124
376,E01000129,2,93
377,E01000129,3,108
378,E01000130,1,48
379,E01000130,2,38
380,E01000130,3,47
381,E01000131,1,106
382,E01000131,2,84
383,E01000131,3,99
384,E01000132,1,37
385,E01000132,2,20
386,E01000132,3,42
387,E01000133,1,31
388,E01000133,2,27
389,E01000133,3,21
390,E01000134,1,45
391,E01000134,2,34
392,E01000134,3,49
393,E01000135,1,87
394,E01000135,2,69
395,E01000135,3,78
396,E01000136,1,87
397,E01000136,2,68
398,E01000136,3,120
399,E01000137,1,43
400,E01000137,2,55
401,E01000137,3,45
402,E01000138,1,104
403,E01000138,2,101
404,E01000138,3,122
405,E01000139,1,108
406,E01000139,2,112
407,E01000139,3,104
408,E01000140,1,93
409,E01000140,2,75
410,E01000140,3,73
411,E01000141,1,119
412,E01000141,2,112
413,E01000141,3,108
414,E01000142,1,104
415,E01000142,2,87
416,E01000142,3,102
417,E01000143,1,84
418,E01000143,2,76
419,E01000143,3,84
420,E01000144,1,92
421,E01000144,2,112
422,E01000144,3,103
423,E01000145,1,105
424,E01000145,2,101
425,E01000145,3,72
426,E01000146,1,182
427,E01000146,2,176
428,E01000146,3,164
429,E01000147,1,61
430,E01000147,2,28
431,E01000147,3,66
432,E01000148,1,39
433,E01000148,2,54
434,E01000148,3,46
435,E01000150,1,78
436,E01000150,2,56
437,E01000150,3,87
438,E01000151,1,77
439,E01000151,2,62
440,E01000151,3,68
441,E01000152,1,43
442,E01000152,2,46
443,E01000152,3,37
444,E01000153,1,81
445,E01000153,2,76
446,E01000153,3,65
447,E01000154,1,47
448,E01000154,2,45
449,E01000154,3,34
450,E01000155,1,93
451,E01000155,2,78
452,E01000155,3,74
453,E01000156,1,54
454,E01000156,2,56
455,E01000156,3,64
456,E01000157,1,44
457,E01000157,2,34
458,E01000157,3,46
459,E01000158,1,82
460,E01000158,2,49
461,E01000158,3,85
462,E01000159,1,87
463,E01000159,2,66
464,E01000159,3,78
465,E01000160,1,80
466,E01000160,2,63
467,E01000160,3,90
468,E01000161,1,100
469,E01000161,2,67
470,E01000161,3,96
471,E01000162,1,89
472,E01000162,2,68
473,E01000162,3,74
474,E01000163,1,57
475,E01000163,2,49
476,E01000163,3,51
477,E01000164,1,81
478,E01000164,2,63
479,E01000164,3,91
480,E01000165,1,39
481,E01000165,2,46
482,E01000165,3,51
483,E01000166,1,67
484,E01000166,2,48
485,E01000166,3,53
486,E01000167,1,52
487,E01000167,2,34
488,E01000167,3,50
489,E01000168,1,62
490,E01000168,2,37
491,E01000168,3,71
492,E01000169,1,30
493,E01000169,2,16
494,E01000169,3,36
495,E01000170,1,67
496,E01000170,2,81
497,E01000170,3,67
498,E01000171,1,82
499,E01000171,2,90
500,E01000171,3,101
501,E01000172,1,77
502,E01000172,2,40
503,E01000172,3,64
504,E01000173,1,58
505,E01000173,2,40
506,E01000173,3,55
