,Type,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Year,Month,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Area,Shape__Length,LSOA_code
179034,Person and Vehicle search,0.0,,51.527753,0.033497,Male,18-24,White - Any other White ethnic background (W9),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.033497 51.527753),4321.0,4322.0,E01003608,Newham 028D,11406.0,4.0,239432.242477417,2427.46537396982,E01003608
179063,Person search,0.0,,51.583366,-0.072178,Male,18-24,Not Stated (NS),White,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (-0.072178 51.583366),1027.0,1028.0,E01002072,Haringey 025D,5544.0,2.0,458758.216064453,4189.25126615382,E01002072
179104,Person search,0.0,,51.550955,-0.110157,Male,18-24,White - White British (W1),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.110157 51.550955),,,,,,,,,
179140,Person search,0.0,,51.59399,-0.111114,Female,18-24,Mixed - Any other Mixed ethnic background (M9),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.111114 51.59399),2871.0,2872.0,E01002030,Haringey 016C,12975.0,4.0,723897.069366455,4764.72140593596,E01002030
179245,Person search,0.0,,51.550955,-0.110157,Male,18-24,White - White British (W1),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.110157 51.550955),,,,,,,,,
179306,Person and Vehicle search,0.0,,51.522224,0.019831,Male,18-24,Asian or Asian British - Bangladeshi (A3),Asian,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.019831 51.522224),4215.0,4216.0,E01003499,Newham 030A,4081.0,2.0,437812.575267792,3764.44506788537,E01003499
179307,Person search,0.0,,51.652283,-0.07975,Female,18-24,White - White British (W1),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.07975 51.652283),2403.0,2404.0,E01001536,Enfield 008B,15451.0,5.0,1127346.63358688,6041.27091434123,E01001536
179481,Person search,0.0,,51.55891,0.070161,Male,over 34,Mixed - Any other Mixed ethnic background (M9),Other,Controlled drugs,Offender given penalty notice,,,2016,6,POINT (0.070161 51.55891),4433.0,4434.0,E01003728,Redbridge 032A,8420.0,3.0,692947.22460556,7580.66432860451,E01003728
179490,Person and Vehicle search,0.0,,51.589944,-0.018961,Male,25-34,White - Any other White ethnic background (W9),White,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.018961 51.589944),5133.0,5134.0,E01004460,Waltham Forest 011D,8097.0,3.0,358874.487215996,2935.22050462346,E01004460
179638,Person and Vehicle search,0.0,,51.535254,-0.109596,Male,18-24,Black or Black British - Any other Black ethnic background (B9),Black,Articles for use in criminal damage,Offender given penalty notice,,,2016,6,POINT (-0.109596 51.535254),1640.0,1641.0,E01002696,Islington 020A,14178.0,5.0,381504.950515747,3766.48361295415,E01002696
